id,page_type,rendering_pattern,component_pattern,state_management,data_fetching,routing,performance_tips,common_mistakes,best_practices
RC001,"SPA Dashboard","CSR","Functional components + hooks","Zustand + TanStack Query","useQuery + mutations","React Router","Code splitting, lazy loading","Prop drilling, Redux for everything","Use React.memo sparingly"
RC002,"SPA Admin Panel","CSR","Feature-based folders","Zustand + TanStack Query","useQuery + useMutation","React Router","Virtualization for tables","Not memoizing callbacks","Use React Hook Form"
RC003,"SPA E-commerce","CSR (with SSR option)","Container/Presenter pattern","Zustand (cart) + TanStack Query","useQuery for products","React Router","Lazy load routes","Client-side SEO","Use React Helmet for SEO"
RC004,"SPA Social App","CSR","Compound components","Zustand + TanStack Query","useQuery + WebSocket","React Router","Infinite scroll, virtualization","Not using suspense","Use useTransition for updates"
RC005,"SPA Form-heavy App","CSR","Controlled components","React Hook Form + Zustand","useMutation","React Router","Debounce validation","useState for each field","Use Zod for validation"
RC006,"SPA Real-time App","CSR","Custom hooks for WS","Zustand + WebSocket","WebSocket + useQuery","React Router","Optimistic updates","Not handling reconnection","Use useSyncExternalStore"
RC007,"SPA Analytics","CSR","Chart components","TanStack Query + Zustand","useQuery polling","React Router","Memoize expensive calcs","Re-rendering charts unnecessarily","Use React.memo for charts"
RC008,"SPA Media App","CSR","Lazy loaded components","Zustand + TanStack Query","useInfiniteQuery","React Router","Virtual scrolling","Loading all media","Use react-window"
RC009,"SPA Chat App","CSR","Message components","Zustand + WebSocket","WebSocket + cache","React Router","Virtual message list","Not using keys properly","Use stable keys for messages"
RC010,"SPA Kanban","CSR","Drag-drop components","Zustand for board state","useMutation for moves","React Router","useTransition for moves","Blocking main thread","Use dnd-kit"
RC011,"SPA Editor","CSR","Controlled + uncontrolled mix","Zustand + history","Auto-save mutations","React Router","useImperativeHandle","Too many re-renders","Use lexical or slate"
RC012,"SPA Calendar","CSR","Date components","Zustand + TanStack Query","useQuery for events","React Router","Memoize date calculations","Not virtualizing","Use react-big-calendar"
RC013,"SPA Maps","CSR","Map wrapper components","Zustand for markers","useQuery for data","React Router","Lazy load map library","Not handling resize","Use react-map-gl"
RC014,"SPA Search","CSR","Search components","URL state + TanStack Query","useQuery with debounced","React Router","Debounce input","Not syncing with URL","Use URL for filters"
RC015,"SPA Notifications","CSR","Toast components","Zustand for queue","useMutation for read","React Router","Batch notifications","Not limiting count","Use sonner or react-hot-toast"
RC016,"SPA Settings","CSR","Form components","React Hook Form + Zustand","useMutation for save","React Router","Debounce auto-save","Not using optimistic","Show save status"
RC017,"SPA Profile","CSR","Profile components","TanStack Query + Zustand","useQuery + useMutation","React Router","Optimistic updates","Not handling image upload","Use react-dropzone"
RC018,"SPA Auth","CSR","Auth context","Context + Zustand","useMutation for login","React Router","Use httpOnly cookies","Storing token in state","Use secure cookies"
RC019,"SPA Error Boundary","CSR","Error boundary class","N/A","N/A","N/A","Multiple error boundaries","Not catching errors","Use fallback UI"
RC020,"SPA Modals","CSR","Portal components","Zustand for modal state","N/A","N/A","Use createPortal","Not using portals","Use radix-ui dialog"
RC021,"SPA Tables","CSR","Table components","TanStack Query + Virtual","useQuery + pagination","React Router","Use react-virtual","Not virtualizing","Use tanstack/table"
RC022,"SPA Trees","CSR","Tree components","Zustand for selection","useQuery for data","React Router","Virtualize large trees","Not memoizing","Use react-arborist"
RC023,"SPA Charts","CSR","Chart wrapper","TanStack Query","useQuery for data","React Router","Use recharts or visx","Not memoizing data","Memoize chart data"
RC024,"SPA Multi-step","CSR","Wizard components","Zustand for step state","useMutation per step","React Router","Use URL for step","Not persisting progress","Use react-hook-form wizard"
RC025,"SPA Offline","CSR","Service worker components","IndexedDB + Zustand","Offline queue","React Router","Use workbox","Not handling sync","Use offline-first pattern"
