id,page_type,rendering_pattern,component_pattern,state_management,data_fetching,routing,performance_tips,common_mistakes,best_practices
SK001,"Landing Page","SSG/SSR","+page.svelte (server)","$app/stores","load function","File-based routing","Preload data","Client-side fetch","Use +page.server.ts"
SK002,"Blog Post","SSG","+page.svelte","$app/stores","load function","File-based","Use MDsveX","Not using load","Prerender: true"
SK003,"Product List","SSR/ISR","+page.svelte","Svelte stores","load + invalidate","File-based","Paginate","Not using invalidate","Use depends()"
SK004,"Product Detail","SSR","+page.svelte","Svelte stores","load function","File-based","Preload images","Client-side data","Use +page.server.ts"
SK005,"Shopping Cart","CSR","+page.svelte (client)","$app/stores","Client fetch","File-based","Optimistic updates","Server-side cart","Use actions"
SK006,"Checkout","CSR","+page.svelte","Svelte stores","Client POST","File-based","Secure session","Server rendering","Use form actions"
SK007,"Dashboard","CSR","+page.svelte","Svelte stores","Client fetch","File-based","WebSocket","SSR for dashboard","Use onMount"
SK008,"User Profile","CSR","+page.svelte","$app/stores","Client fetch","File-based","Optimistic","Not using stores","Use $derived"
SK009,"Admin Panel","CSR","+page.svelte","Svelte stores","Client fetch","File-based","Role-based access","SSR for admin","Use hooks"
SK010,"Search Results","SSR","+page.svelte","URL + stores","load function","File-based","Cache queries","Not using URL","Use goto for filters"
SK011,"Auth Pages","SSG/SSR","+page.svelte","$app/stores","load + actions","File-based","CSRF protection","Client-only auth","Use hooks.server.ts"
SK012,"API Routes","Server","+server.ts","N/A","Direct DB/API","File-based","Use Edge","Not using proper methods","Use +server.ts"
SK013,"Error Pages","SSG","+error.svelte","N/A","N/A","File-based","Error boundaries","Not handling errors","Use +error.svelte"
SK014,"Loading States","SSR","+loading.svelte","N/A","N/A","File-based","Use suspense","Not using loading","Use +loading.svelte"
SK015,"Layouts","SSG","+layout.svelte","$app/stores","load function","File-based","Shared UI","Client layouts","Use +layout.server.ts"
SK016,"Server Actions","Server","+page.server.ts","N/A","form actions","File-based","Use for mutations","Client mutations","Use enhance"
SK017,"Hooks","Server","hooks.server.ts","N/A","Request handling","N/A","Auth, redirects","Heavy computation","Use sequence"
SK018,"Streaming","SSR","+page.svelte","N/A","Streaming load","File-based","Stream slow data","Not using await","Use {#await}"
SK019,"SEO","SSR","+page.svelte","$app/stores","load function","File-based","Use @sveltejs/kit","Not using meta","Use +page.ts meta"
SK020,"Sitemap","SSG","+server.ts","N/A","DB query","File-based","Dynamic sitemap","Not generating","Use +server.ts"
SK021,"Font Optimization","SSG","+layout.svelte","N/A","N/A","File-based","Use $app/fonts","External links","Use @fontsource"
SK022,"Image Optimization","SSG/SSR","+page.svelte","N/A","N/A","File-based","Use svelte-image","Unoptimized images","Lazy load images"
SK023,"Form Handling","SSR/CSR","+page.svelte","Superforms","Actions","File-based","Use superforms","Manual handling","Use zod + superforms"
SK024,"Real-time","CSR","+page.svelte","Svelte stores","WebSocket","File-based","Use stores","Not cleanup","Use onMount + WS"
SK025,"Offline","CSR","+page.svelte","Service worker","Cache API","File-based","Use workbox","Not handling sync","Use service worker"
