id,scenario,data_nature,seo_requirement,server_budget,ux_requirement,recommended_architecture,reason,tradeoffs,implementation_notes
RD001,"Static blog or documentation","static","high","low","standard","SSG","Maximum performance and SEO, minimal server cost","Content updates require rebuild","Use next build && next export for pure SSG"
RD002,"News website with frequent updates","periodic","high","medium","standard","ISR","SEO with automatic content updates","Slight delay in content freshness","Use revalidate prop in getStaticProps"
RD003,"Real-time dashboard","realtime","low","high","spa_like","CSR","Smooth UX with real-time updates","Poor SEO, higher client resource usage","Use React Query with polling or WebSockets"
RD004,"E-commerce product page","per_user","high","medium","standard","SSR","Dynamic pricing with SEO","Higher server load than SSG","Use getServerSideProps with cache headers"
RD005,"User profile page","per_user","low","medium","spa_like","CSR","Private data, smooth UX","No SEO needed for private pages","Fetch on client with auth tokens"
RD006,"Shopping cart","realtime","low","medium","spa_like","CSR","Real-time updates, private data","No SEO needed","Use local state + sync to server"
RD007,"Landing page marketing","static","high","low","standard","SSG","Maximum SEO and performance","Content updates need rebuild","Pre-build and deploy to CDN"
RD008,"Admin panel","realtime","low","high","spa_like","CSR","Real-time data, authentication","SEO not needed","SPA with protected routes"
RD009,"Large e-commerce 100K+ products","mixed","high","high","mixed","Hybrid","Optimal per-page strategy","Complex architecture","ISR for listing, SSR for detail, CSR for cart"
RD010,"Social media feed","realtime","low","high","spa_like","CSR","Real-time updates, infinite scroll","Poor SEO for feed content","CSR with optimistic updates"
RD011,"SaaS pricing page","static","high","low","standard","SSG","SEO for conversions, fast load","Price changes need rebuild","Use ISR if prices change often"
RD012,"Search results page","dynamic","medium","medium","standard","SSR","SEO for search queries","Higher server load","Cache popular queries with ISR"
RD013,"Weather application","realtime","low","medium","spa_like","CSR","Real-time data display","No SEO benefit","Poll API every minute"
RD014,"Job board listing","periodic","high","medium","standard","ISR","SEO with periodic updates","Slight delay for new jobs","Revalidate every 5-10 minutes"
RD015,"Financial trading app","realtime","low","high","spa_like","CSR","Real-time stock data","No SEO needed","WebSocket connections required"
RD016,"Recipe website","static","high","low","standard","SSG","Excellent SEO, fast loading","Content updates need rebuild","Pre-generate all recipe pages"
RD017,"Real-time collaboration tool","realtime","low","high","spa_like","CSR","WebSocket real-time sync","No SEO for app pages","Use Yjs or Socket.io"
RD018,"Travel booking site","mixed","high","high","mixed","Hybrid","SEO + dynamic pricing","Complex caching strategy","SSG for content, SSR for availability"
RD019,"Forum or community","mixed","high","medium","standard","Hybrid","SEO for threads, CSR for posting","Mixed rendering complexity","ISR for threads, CSR for new posts"
RD020,"Portfolio website","static","high","low","standard","SSG","Maximum performance and SEO","Manual updates required","Simple static hosting"
RD021,"Documentation site","static","high","low","standard","SSG","Fast navigation, excellent SEO","Rebuild on content change","Use MDX with static generation"
RD022,"Video streaming platform","realtime","low","high","spa_like","CSR","Smooth playback experience","SEO limited to metadata","CSR player with SSR metadata"
RD023,"Real estate listing","periodic","high","medium","standard","ISR","SEO with property updates","Slight delay for new listings","Revalidate every 15 minutes"
RD024,"Event ticketing platform","mixed","high","high","mixed","Hybrid","SEO for events, CSR for booking","Complex state management","ISR for events, SSR for availability, CSR for purchase"
RD025,"AI chat application","realtime","low","high","spa_like","CSR","Real-time AI responses","No SEO for chat","Stream responses with SSE"
