id,page_type,rendering_pattern,component_pattern,state_management,data_fetching,routing,performance_tips,common_mistakes,best_practices
NG001,"Landing Page","SSR/SSG","Component + SSR","NgRx/Signals","HttpClient","Router","Angular Universal","CSR only","Use SSR for SEO"
NG002,"Blog Post","SSG","Component + SSG","Signals","HttpClient","Router","Angular Universal","CSR for blog","Use prerender"
NG003,"Product List","SSR","Component + SSR","NgRx/Signals","HttpClient + cache","Router","OnPush strategy","Default change detection","Use ChangeDetectionStrategy.OnPush"
NG004,"Product Detail","SSR","Component + SSR","Signals","HttpClient","Router","Resolve guards","Client fetch","Use resolvers"
NG005,"Shopping Cart","CSR","Component","NgRx/Signals","HttpClient","Router","Optimistic updates","Server-side cart","Use Effects"
NG006,"Checkout","CSR","Component","NgRx/Signals","HttpClient","Router","Secure flow","Server rendering","Use guards"
NG007,"Dashboard","CSR","Component","NgRx/Signals","HttpClient","Router","OnPush + async","Default detection","Use async pipe"
NG008,"User Profile","CSR","Component","Signals","HttpClient","Router","Optimistic","Not using signals","Use signals"
NG009,"Admin Panel","CSR","Component","NgRx/Signals","HttpClient","Router","Lazy modules","Eager loading","Use loadChildren"
NG010,"Search Results","SSR","Component + SSR","Signals + URL","HttpClient","Router","Cache results","No caching","Use HTTP interceptors"
NG011,"Auth Pages","SSG/SSR","Component","NgRx/Signals","HttpClient","Router","Guards + SSR","Client-only auth","Use interceptors"
NG012,"API Services","N/A","Service","N/A","HttpClient","N/A","Interceptors","Direct fetch","Use HttpService"
NG013,"Error Pages","SSG","Component","N/A","N/A","Router","Error boundaries","Not handling","Use ErrorHandler"
NG014,"Loading States","SSR/CSR","Component","N/A","Resolver","Router","Loading modules","No loading UI","Use router events"
NG015,"Layouts","SSG/SSR","Component","N/A","Resolver","Router","Shared layout","Repeated code","Use router outlets"
NG016,"Lazy Loading","CSR","Component","N/A","N/A","Router","Lazy modules","Eager loading","Use loadChildren"
NG017,"Guards","SSR/CSR","Guard","N/A","N/A","Router","canActivate","No protection","Use functional guards"
NG018,"Interceptors","All","Interceptor","N/A","HttpClient","N/A","Auth + caching","No interceptors","Use HttpInterceptorFn"
NG019,"Signals","All","Component","Signals","N/A","N/A","Use signals","RxJS for everything","Prefer signals"
NG020,"Standalone","All","Standalone component","N/A","N/A","Router","Standalone components","NgModules","Use bootstrapApplication"
NG021,"Forms","CSR","Reactive forms","FormControl","N/A","N/A","Reactive forms","Template forms","Use FormBuilder"
NG022,"Tables","CSR","Component","Signals + CDK","HttpClient","Router","CDK table","Not virtualizing","Use CDK virtual scroll"
NG023,"Charts","CSR","Component","Signals","HttpClient","Router","ng2-charts","Not memoizing","Use OnPush"
NG024,"Real-time","CSR","Component + RxJS","NgRx/Signals","WebSocket","Router","RxJS operators","Manual handling","Use webSocket"
NG025,"Testing","All","TestBed","N/A","HttpClientTestingModule","Router","TestBed + spectator","No testing","Use spectator"
