id,cache_type,strategy,use_case,ttl_recommendation,invalidation_strategy,implementation,pros,cons,example_usage
CS001,"CDN Static Assets","cache-first","JS, CSS, images, fonts","1 year (immutable)","Version in filename or path","Cache-Control: public, max-age=31536000, immutable","Maximum performance, reduced origin load","Updates require new filenames","Static build artifacts with content hash"
CS002,"CDN HTML Pages","stale-while-revalidate","SSG/ISR pages","1 hour - 1 day","Revalidation webhook or time-based","Cache-Control: s-maxage=3600, stale-while-revalidate=86400","Fast response, background update","May serve slightly stale content","Marketing pages, blog posts"
CS003,"API Response (Browser)","stale-while-revalidate","User-specific API data","5 minutes - 1 hour","TanStack Query refetch triggers","TanStack Query staleTime + cacheTime","Fresh data, background update","Memory usage on client","User profile, preferences"
CS004,"API Response (Server)","cache-then-network","Server-side data fetching","1 minute - 1 hour","Redis/Cache invalidation on update","Redis with TTL, cache keys by query","Reduced database load, faster SSR","Cache invalidation complexity","Product data, configuration"
CS005,"Service Worker Static","cache-first","App shell, offline pages","Permanent until update","Version bump, skipWaiting","Workbox cacheExpiration","Offline support, instant load","Cache management complexity","PWA offline pages"
CS006,"Service Worker Dynamic","network-first","Dynamic content, API calls","No cache or short TTL","Background sync","Workbox networkFirst","Fresh data, offline fallback","Slower when online","Real-time data with offline support"
CS007,"Service Worker Images","cache-first","Images, icons","30 days","Cache size limit","Workbox cacheableResponse","Fast image loading, offline","Disk space usage","Product images, avatars"
CS008,"Browser HTTP Cache","cache-first","Immutable resources","1 year","Content hash in URL","Cache-Control: max-age=31536000","No server requests","Requires build changes","Versioned static assets"
CS009,"Browser Session Cache","memory-only","Temporary session data","Session lifetime","Clear on logout","In-memory Map or object","Fast access, auto-clear","Lost on refresh","Temporary selections, wizard state"
CS010,"IndexedDB Data","cache-first","Offline data, large datasets","Permanent until cleared","Manual or TTL-based","Dexie.js or idb","Large storage, offline support","Complex API, sync issues","Offline product catalog"
CS011,"Local Storage","cache-first","User preferences, small data","Permanent until cleared","Manual clear","localStorage API","Persistent, simple API","Synchronous, limited space","Theme, language, preferences"
CS012,"Session Storage","session-only","Tab-specific data","Tab lifetime","Clear on tab close","sessionStorage API","Auto-clear, tab-isolated","Lost on tab close","Form state, temporary data"
CS013,"TanStack Query Cache","stale-while-revalidate","API data in React","Configurable (staleTime, cacheTime)","Query invalidation, mutation","useQuery with options","Auto refetch, deduplication","Memory usage","Product listings, user data"
CS014,"React Router Cache","memory-only","Route-level data","Navigation lifetime","Route change","loader + useLoaderData","Route-based caching","Lost on navigation","Route-specific data"
CS015,"Next.js Data Cache","stale-while-revalidate","fetch() responses","Configurable per request","revalidatePath, revalidateTag","fetch with next.revalidate","Built-in ISR support","Server-only","ISR pages, API routes"
CS016,"Next.js Full Route Cache","cache-first","Static routes","Build until revalidation","revalidatePath, on-demand ISR","generateStaticParams","Instant static pages","Requires build","Static product pages"
CS017,"Next.js Router Cache","memory-only","Client navigation","Session (30s default)","router.refresh()","Next.js router","Instant back/forward","Short duration","Client navigation state"
CS018,"Redis Cache","cache-then-network","Server-side API cache","1 minute - 1 hour","Key-based invalidation","Redis SETEX, DEL","Fast, distributed","Infrastructure cost","API rate limiting, session"
CS019,"Edge Cache","cache-first","Edge function responses","1 minute - 1 hour","Purge by tag or URL","Cloudflare/Vercel edge cache","Close to user, fast","Limited compute","Geo-specific content"
CS020,"Database Query Cache","cache-then-network","Expensive queries","5 minutes - 1 hour","Write-through invalidation","ORM cache layer","Reduced DB load","Staleness risk","Popular queries, aggregations"
CS021,"CDN Image Cache","cache-first","Optimized images","1 year","Purge on update","Cloudflare Images, next/image","Fast delivery, optimized","Storage cost","Product images, user uploads"
CS022,"CDN Video Cache","range-cache-first","Video streaming","1 year","Purge on update","Cloudflare Stream, CDN","Smooth streaming","High storage cost","Video content"
CS023,"GraphQL Cache","stale-while-revalidate","GraphQL responses","Configurable per query","Cache invalidation by type","Apollo Client, URQL","Normalized cache","Complex setup","GraphQL API responses"
CS024,"WebSocket State","no-cache","Real-time data","No caching","N/A","WebSocket connection","Real-time updates","Connection overhead","Chat, live updates"
CS025,"Prefetch Cache","speculative","Anticipated next pages","Session lifetime","Navigation or timeout","Link prefetch, router prefetch","Instant navigation","Wasted bandwidth","Next page in flow"
