id,page_type,rendering_pattern,component_pattern,state_management,data_fetching,routing,performance_tips,common_mistakes,best_practices
AR001,"Landing Page","SSG (Zero JS)",".astro components","N/A (static)","fetch at build","File-based","Zero JS by default","Adding unnecessary JS","Use client:none"
AR002,"Blog Post","SSG",".astro components","N/A (static)","fetch at build","File-based","Use MDX","Client-side content","Use Content Collections"
AR003,"Product List","SSG + Islands",".astro + framework","URL params","fetch + client:visible","File-based","Islands architecture","Full hydration","Use client:visible"
AR004,"Product Detail","SSG + Islands",".astro + framework","Framework state","fetch + client:idle","File-based","Partial hydration","Hydrating everything","Use client:idle"
AR005,"Shopping Cart","CSR Island","Framework component","Framework state","Client fetch","File-based","Isolate cart","Server rendering cart","Use client:only"
AR006,"Checkout","CSR Island","Framework component","Framework state","Client fetch","File-based","Secure island","Server-side checkout","Use client:only"
AR007,"Dashboard","CSR Island","Framework component","Framework state","Client fetch","File-based","Full hydration OK","SSG for dashboard","Use client:load"
AR008,"User Profile","CSR Island","Framework component","Framework state","Client fetch","File-based","Protected route","SSG profile","Use client:load"
AR009,"Admin Panel","CSR Island","Framework component","Framework state","Client fetch","File-based","Full app island","SSG admin","Use client:only"
AR010,"Search Results","SSG + Islands",".astro + framework","URL params","fetch + client","File-based","Static + interactive","Full CSR","Use client:visible"
AR011,"Auth Pages","SSG + Islands",".astro + framework","Framework state","Client fetch","File-based","Static forms","Full CSR","Use client:idle"
AR012,"API Routes","Server","API endpoints","N/A","Direct DB","File-based","Use endpoints","Client-side only","Use /api routes"
AR013,"Error Pages","SSG",".astro components","N/A","N/A","File-based","Static error pages","Dynamic errors","Use prerender"
AR014,"Content Collections","SSG",".md, .mdx files","N/A","getCollection","File-based","Type-safe content","Unstructured content","Use defineCollection"
AR015,"Layouts","SSG",".astro layouts","N/A","N/A","File-based","Shared structure","Client layouts","Use <slot />"
AR016,"Multi-framework","SSG + Islands","React + Vue + Svelte","Per-framework","Per-framework","File-based","Mix frameworks","Unnecessary mixing","Use best tool per need"
AR017,"SEO Pages","SSG",".astro components","N/A","fetch at build","File-based","Perfect SEO","Any client rendering","Use Astro SEO"
AR018,"Marketing Pages","SSG",".astro components","N/A","fetch at build","File-based","Zero JS goal","Heavy JS","Use minimal islands"
AR019,"Documentation","SSG",".astro + MDX","N/A","getCollection","File-based","Fast navigation","Client-side search","Use Pagefind"
AR020,"Portfolio","SSG",".astro components","N/A","fetch at build","File-based","Static showcase","Dynamic content","Use image optimization"
AR021,"Image Optimization","SSG",".astro components","N/A","N/A","File-based","@astrojs/image","Unoptimized images","Use <Image />"
AR022,"Font Loading","SSG",".astro layouts","N/A","N/A","File-based","font-display: swap","Blocking fonts","Use @fontsource"
AR023,"SSR Mode","SSR",".astro SSR","Server state","fetch runtime","File-based","Dynamic content","SSR for static","Use adapter"
AR024,"Hybrid Mode","Hybrid",".astro hybrid","Mixed","Mixed","File-based","Per-route choice","One mode all","Use prerender: true"
AR025,"View Transitions","SSG/SSR",".astro components","N/A","N/A","File-based","SPA-like feel","No transitions","Use View Transitions API"
