id,metric_name,metric_type,good_threshold,needs_improvement_threshold,poor_threshold,measurement_tool,optimization_strategies,common_causes,framework_specific_tips
PM001,"Largest Contentful Paint","loading","<=2.5s","2.5s-4.0s",">4.0s","Lighthouse, Web Vitals","Optimize images, preload fonts, reduce blocking resources","Large images, unoptimized fonts, render-blocking JS","Next.js: use next/image, preload critical fonts"
PM002,"First Input Delay","interactivity","<=100ms","100ms-300ms",">300ms","Lighthouse, Web Vitals","Reduce JS bundle size, break up long tasks, use web workers","Heavy JS execution, main thread blocking","React: use useMemo, useCallback, code splitting"
PM003,"Interaction to Next Paint","interactivity","<=200ms","200ms-500ms",">500ms","Lighthouse, Web Vitals","Optimize event handlers, reduce render time, use concurrency","Slow event callbacks, complex re-renders","React 18: use useTransition, startTransition"
PM004,"Cumulative Layout Shift","visual_stability","<=0.1","0.1-0.25",">0.25","Lighthouse, Web Vitals","Set image dimensions, reserve space for ads, avoid DOM injection","Images without dimensions, dynamic content injection","Next.js: use next/image with width/height"
PM005,"Time to First Byte","server","<=800ms","800ms-1800ms",">1800ms","Lighthouse, Chrome DevTools","Optimize server response, use CDN, implement caching","Slow server, no CDN, database queries","Use edge functions, optimize database queries"
PM006,"First Contentful Paint","loading","<=1.8s","1.8s-3.0s",">3.0s","Lighthouse, Chrome DevTools","Inline critical CSS, preload resources, reduce blocking","Render-blocking CSS/JS, slow server response","Extract critical CSS, use preload"
PM007,"Speed Index","loading","<=3.4s","3.4s-5.8s",">5.8s","Lighthouse","Progressive loading, lazy load below fold, skeleton screens","Blocking resources, slow visual progress","Use skeleton loading, progressive images"
PM008,"Total Blocking Time","interactivity","<=200ms","200ms-600ms",">600ms","Lighthouse","Reduce JS execution, code splitting, defer non-critical","Long tasks blocking main thread","Split bundles, use dynamic imports"
PM009,"Time to Interactive","interactivity","<=3.8s","3.8s-7.3s",">7.3s","Lighthouse","Reduce bundle size, prioritize critical resources","Large bundles, many network requests","Route-based code splitting"
PM010,"Bundle Size (JS)","resource","<150KB gzip","150KB-300KB gzip",">300KB gzip","webpack-bundle-analyzer, source-map-explorer","Tree shaking, code splitting, remove unused deps","Unused dependencies, no tree shaking","Use sideEffects: false in package.json"
PM011,"Bundle Size (CSS)","resource","<50KB","50KB-100KB",">100KB","webpack-bundle-analyzer","Purge unused CSS, use utility-first","Unused styles, large CSS frameworks","Tailwind: enable purge, use JIT mode"
PM012,"Image Optimization","resource","WebP/AVIF","JPEG/PNG",">500KB uncompressed","Lighthouse, Chrome DevTools","Use modern formats, lazy load, responsive images","Unoptimized images, no lazy loading","Next.js: next/image auto-optimization"
PM013,"Font Loading","resource","<100ms block","100ms-500ms block",">500ms block","Lighthouse, Chrome DevTools","Font-display: swap, preload critical fonts, subset fonts","Large font files, blocking font load","Use next/font for automatic optimization"
PM014,"Network Requests","resource","<50 requests","50-100 requests",">100 requests","Chrome DevTools, Lighthouse","Bundle resources, use sprites, reduce API calls","Many small files, no bundling","Use HTTP/2, bundle small assets"
PM015,"Memory Usage","runtime","<50MB","50MB-100MB",">100MB","Chrome DevTools Memory","Fix memory leaks, cleanup listeners, optimize data","Memory leaks, large data in memory","React: cleanup useEffect, use virtualization"
PM016,"JavaScript Execution","runtime","<100ms","100ms-500ms",">500ms","Chrome DevTools Performance","Reduce bundle size, use web workers, optimize loops","Heavy computations on main thread","Offload to web workers"
PM017,"Render Time","runtime","<16ms/frame","16ms-33ms/frame",">33ms/frame","React DevTools Profiler","Memoization, virtualization, reduce re-renders","Unnecessary re-renders, large lists","Use react-window for long lists"
PM018,"API Response Time","network","<200ms","200ms-500ms",">500ms","Chrome DevTools, Sentry","Optimize queries, use caching, implement pagination","Slow database, no caching, N+1 queries","Use TanStack Query caching"
PM019,"Time to First Meaningful Paint","loading","<=2.0s","2.0s-4.0s",">4.0s","Lighthouse","Prioritize above-fold content, skeleton loading","Blocking resources, slow server","Critical CSS inline, skeleton screens"
PM020,"Core Web Vitals Pass","composite","3/3 pass","2/3 pass","<2/3 pass","Lighthouse, Web Vitals","Address LCP, FID/INP, CLS issues","Multiple performance issues","Focus on worst metric first"
